trial,num_experts,top_k,hidden_size,best_val_loss,best_epoch,expert_js_sep,mae,rmse,mse,kl,js_mean,tv_distance,cos_sim,r2,max_error,objective
6,2,2,128,1.5863690376281738,38,0.14662788990226538,0.03255566209554672,0.060389842838048935,0.003646933240815997,0.3958881199359894,0.10936964440111106,0.11394480615854263,0.9685802459716797,-0.1268220990896225,0.7425732612609863,0.18386117136325084
9,3,1,128,1.5816601514816284,50,0.13359366422256536,0.03255683183670044,0.059877362102270126,0.0035852985456585884,0.394168883562088,0.11024082819438616,0.11394891142845154,0.9693388938903809,-0.1471889466047287,0.7425718307495117,0.18404316377373503
15,3,3,128,1.5788829326629639,40,0.09421104551959943,0.03139004856348038,0.05963772535324097,0.0035566582810133696,0.3942830562591553,0.10820464903885088,0.10986515879631042,0.9697269797325134,-0.13655652105808258,0.7425732612609863,0.1845677895537968
24,4,3,128,1.582851767539978,35,0.10766804599997988,0.03179704025387764,0.059567879885435104,0.003548332257196307,0.3946419358253479,0.1084605624327497,0.11128965020179749,0.9700210690498352,-0.12156099826097488,0.7425732612609863,0.18469881470787644
25,6,1,32,1.5804015398025513,69,0.10438449441033494,0.03216427564620972,0.05621211603283882,0.0031598021741956472,0.23181413114070892,0.11271499990913528,0.11257496476173401,0.9706810116767883,-0.10558434575796127,0.6593030691146851,0.1849852049059481
32,6,3,64,1.5871880054473877,34,0.1056519498955332,0.03166870400309563,0.05079960823059082,0.0025806003250181675,0.22756808996200562,0.11138235676439934,0.11084046959877014,0.9731104373931885,0.16374100744724274,0.4891914129257202,0.18510490705305774
2,2,1,64,1.5821102857589722,59,0.12234678621531751,0.033108726143836975,0.06096050888299942,0.003716183826327324,0.39906513690948486,0.11302199925646718,0.11588053405284882,0.9678649306297302,-0.22685101628303528,0.7425731420516968,0.1852024154089683
29,6,2,64,1.5799109935760498,39,0.09185343027337621,0.031808286905288696,0.05972244217991829,0.003566770115867257,0.36259713768959045,0.11069102149566307,0.11132901161909103,0.9701434373855591,-0.09986332803964615,0.7425590753555298,0.18520671474922487
5,2,2,64,1.5877060890197754,51,0.14642567412092755,0.03396982327103615,0.06214074790477753,0.0038614727091044188,0.371433287858963,0.11356765497430302,0.11889437586069107,0.9658939838409424,-0.1930229365825653,0.7425732612609863,0.18541914846696733
27,6,1,128,1.5817804336547852,139,0.09900037769197084,0.0322042815387249,0.060216162353754044,0.0036259861662983894,0.39564967155456543,0.10798291801492954,0.1127149686217308,0.9682877063751221,-0.151641845703125,0.742571234703064,0.1854323060196049
8,3,1,64,1.5815194845199585,56,0.10971274041781442,0.03279491886496544,0.061313703656196594,0.0037593701854348183,0.39789316058158875,0.11128479629583828,0.11478219926357269,0.9674788117408752,-0.18717463314533234,0.7425721883773804,0.1854612302960706
12,3,2,128,1.5818018913269043,33,0.12026459167302438,0.033818867057561874,0.061230774968862534,0.003749207826331258,0.39830562472343445,0.11435964986654595,0.11836604028940201,0.9675765037536621,-0.16096194088459015,0.7425732612609863,0.1859858266066011
30,6,2,128,1.5839130878448486,33,0.09841094850995649,0.032750122249126434,0.06031588092446327,0.0036380053497850895,0.3980981707572937,0.11393924922825835,0.11462541669607162,0.968921422958374,-0.1713951826095581,0.7425732612609863,0.18622088360811348
14,3,3,64,1.5865583419799805,39,0.09977908850667598,0.032596249133348465,0.060256097465753555,0.0036307971458882093,0.39746299386024475,0.11312312080370657,0.11408685892820358,0.9689865112304688,-0.17350804805755615,0.7425732612609863,0.1862631289060127
18,4,1,128,1.581853985786438,58,0.09784017759800795,0.033028293401002884,0.06043945625424385,0.0036529276985675097,0.39579081535339355,0.11090433465183426,0.11559901386499405,0.9686005711555481,-0.14027968049049377,0.7425721883773804,0.18632168309974628
28,6,2,32,1.5869258642196655,80,0.09167396431838229,0.032545361667871475,0.059661462903022766,0.003559489967301488,0.23908089101314545,0.11150344151161197,0.11390875279903412,0.9678718447685242,-0.13843071460723877,0.7120006084442139,0.18665424987391893
33,6,3,128,1.5818510055541992,41,0.10613781194122501,0.0338810570538044,0.06691634654998779,0.0044777970761060715,0.37637579441070557,0.11310841541830204,0.11858371645212173,0.9621714949607849,-0.34350499510765076,0.8904464244842529,0.18675926701216308
7,3,1,32,1.5817503929138184,93,0.0955077595163199,0.033538851886987686,0.06243931129574776,0.003898667637258768,0.401794970035553,0.11486060818281961,0.11738599836826324,0.9654529094696045,-0.26899152994155884,0.7425724267959595,0.18693850320255354
19,4,2,32,1.5849064588546753,58,0.10268686657192327,0.03359135612845421,0.060956139117479324,0.003715651109814644,0.39648690819740295,0.11465622685511362,0.11756973713636398,0.967598021030426,-0.18051685392856598,0.7425732612609863,0.1869476586853256
21,4,2,128,1.5832233428955078,40,0.0896838983640877,0.033173009753227234,0.061232373118400574,0.003749403404071927,0.3981357216835022,0.11184272434052389,0.11610554903745651,0.967156708240509,-0.1576707363128662,0.7425732612609863,0.18701114912457362
20,4,2,64,1.589016079902649,44,0.11188488477812362,0.0337432399392128,0.06098390370607376,0.003719036467373371,0.38273149728775024,0.11552331752543984,0.1181013286113739,0.9679055213928223,-0.21412186324596405,0.7425732612609863,0.18705060369057153
26,6,1,64,1.5825804471969604,87,0.10645619515439521,0.03436259180307388,0.06139514222741127,0.0037693632766604424,0.376420259475708,0.11492678501090821,0.12026906758546829,0.9668684601783752,-0.204535111784935,0.7425711154937744,0.1872978267650502
11,3,2,64,1.5894720554351807,41,0.10387826070545801,0.033554475754499435,0.06080746650695801,0.003697548061609268,0.39931100606918335,0.11518517727711738,0.11744067072868347,0.9683224558830261,-0.16797149181365967,0.7425732612609863,0.18730776826274462
17,4,1,64,1.5836714506149292,62,0.08380530462521536,0.03318965062499046,0.05946255475282669,0.0035357954911887646,0.3950212001800537,0.11209025936779138,0.11616376787424088,0.9704307913780212,-0.14953498542308807,0.7425719499588013,0.18736653045522264
10,3,2,32,1.587117314338684,63,0.11129348963391587,0.03426843136548996,0.06211135908961296,0.0038578209932893515,0.40125182271003723,0.11716515512359459,0.11993952095508575,0.9654772877693176,-0.24240218102931976,0.7425732612609863,0.18741548831766258
23,4,3,64,1.5810751914978027,40,0.10037316036468007,0.034714337438344955,0.06207713112235069,0.0038535704370588064,0.40083640813827515,0.11653282817381155,0.12150019407272339,0.966001033782959,-0.2115907371044159,0.7425732612609863,0.18780319856989122
3,2,1,128,1.582184076309204,44,0.061235389329238415,0.0332716666162014,0.06060843914747238,0.0036733828019350767,0.3976225256919861,0.11278638146614538,0.11645082384347916,0.9682251811027527,-0.15161392092704773,0.7425727844238281,0.18842830478065992
22,4,3,32,1.5839877128601074,47,0.10917011436029272,0.0355486199259758,0.06683056801557541,0.004466325044631958,0.36414286494255066,0.12178687310554889,0.124420166015625,0.9613593816757202,-0.42711004614830017,0.8657492399215698,0.1884888854939719
13,3,3,32,1.5832282304763794,46,0.09642418042000794,0.035039015114307404,0.06716447323560715,0.00451106671243906,0.3650223910808563,0.11835431840284309,0.12263654917478561,0.9613564014434814,-0.42878031730651855,0.8712567090988159,0.18854062914094497
1,2,1,32,1.585943579673767,65,0.07446455406457196,0.03367923945188522,0.061067890375852585,0.00372928730212152,0.37081196904182434,0.1143351866661182,0.11787734925746918,0.967428982257843,-0.2704032361507416,0.7425719499588013,0.18855036971603334
16,4,1,32,1.5807400941848755,109,0.048003509003511385,0.032920029014348984,0.06010671705007553,0.0036128172650933266,0.3474653959274292,0.11196536990558183,0.11522010713815689,0.9689135551452637,-0.15816089510917664,0.7425730228424072,0.18859386298266098
4,2,2,32,1.5909504890441895,59,0.1184232800510201,0.03581592068076134,0.06273405253887177,0.003935561515390873,0.40326637029647827,0.11996347159818524,0.12535572052001953,0.9653380513191223,-0.32657623291015625,0.7425732612609863,0.1889898055826293
31,6,3,32,1.589622974395752,47,0.10056217095772482,0.03534001484513283,0.062337636947631836,0.003885981161147356,0.311630517244339,0.12051941416300199,0.12369006127119064,0.9662342071533203,-0.2759868800640106,0.7425718307495117,0.1892742037368218
