category,probability,percentage,ci_lower,ci_upper,ci_lower_pct,ci_upper_pct
1_try,0.0003744269,0.037442688,0.0,0.004944606,0.0,0.4944606
2_tries,0.016268482,1.6268482,0.0012610438,0.052298676,0.12610438,5.2298675
3_tries,0.10111435,10.111435,0.04825961,0.17217714,4.8259606,17.217714
4_tries,0.30758193,30.758194,0.21318181,0.41460967,21.31818,41.460968
5_tries,0.31273237,31.273237,0.21457617,0.41308948,21.457617,41.30895
6_tries,0.23431206,23.431206,0.15126476,0.32419822,15.126475,32.419823
7_or_more_tries_x,0.027616378,2.7616377,0.0049886922,0.06858937,0.4988692,6.858937
